id;nome;preco;caminho__img
01;Super Cheddar GGOsMelt Bacon;35.90;./imgs/Hamburgues/01.jpeg
02;Big GGOs;32.50;./imgs/Hamburgues/02.jpeg
03;Big GGOs;32.50;./imgs/Hamburgues/03.jpeg
04;Duplo Quarterão;34.90;./imgs/Hamburgues/04.jpeg
05;Duplo Quarterão;34.90;./imgs/Hamburgues/05.jpeg
06;Quarterão com Queijo;28.75;./imgs/Hamburgues/06.jpeg
07;Quarterão com Queijo;28.75;./imgs/Hamburgues/07.jpeg
08;GGOsNífico Bacon;31.20;./imgs/Hamburgues/08.jpeg
09;GGOsNífico Bacon;31.20;./imgs/Hamburgues/09.jpeg
10;Duplo Cheddar GGOsMelt;33.80;./imgs/Hamburgues/10.jpeg
11;Duplo Cheddar GGOsMelt;33.80;./imgs/Hamburgues/11.jpeg
12;Cheddar GGOsMelt;27.60;./imgs/Hamburgues/12.jpeg
13;Cheddar GGOsMelt;27.60;./imgs/Hamburgues/13.jpeg
14;Duplo Burger Bacon;37.90;./imgs/Hamburgues/14.jpeg
15;Duplo Burger Bacon;37.90;./imgs/Hamburgues/15.jpeg
16;Duplo Burger com Queijo;36.50;./imgs/Hamburgues/16.jpeg
17;Duplo Burger com Queijo;36.50;./imgs/Hamburgues/17.jpeg
